Fläche,Fragen
62.08,Wie viele Quadratmeter umfasst die Stadt Bad Dürrheim?
82.94,Welche Fläche nimmt Wiesmoor ein?
164.40,Wie viele Quadratmeter umfasst die Stadt Bergen?
90.31,Welche Fläche nimmt Biedenkopf ein?
135.95,Wie groß ist die Fläche von Bad Laasphe?
61.21,Wie groß ist die Fläche der Stadt Neustadt a.d.Aisch?
22.77,Wie viele Quadratmeter umfasst die Stadt Linden?
99.98,Wie groß ist die Fläche von Pegnitz?
72.81,Welche Fläche nimmt Dinklage ein?
96.95,Wie groß ist die Fläche der Stadt Sendenhorst?
67.20,Welche Fläche nimmt Bad Salzdetfurth ein?
26.16,Wie groß ist die Fläche von Neckargemünd?
69.29,Welche Fläche nimmt Tauberbischofsheim ein?
223.06,Wie groß ist die Fläche von Zehdenick?
112.29,Wie groß ist die Fläche von Wolfhagen?
70.75,Wie groß ist die Fläche von Velen?
159.43,Wie groß ist die Fläche von Haselünne?
192.63,Wie viele Quadratmeter umfasst die Stadt Südliches Anhalt?
35.64,Wie groß ist die Fläche der Stadt Wehr?
98.09,Wie groß ist die Fläche der Stadt Beverungen?
52.35,Wie groß ist die Fläche von Pfarrkirchen?
58.63,Wie groß ist die Fläche der Stadt Herbrechtingen?
49.97,Welche Fläche nimmt Rödental ein?
52.43,Welche Fläche nimmt Olfen ein?
53.28,Welche Fläche nimmt Östringen ein?
110.83,Wie groß ist die Fläche der Stadt Sulingen?
35.90,Wie groß ist die Fläche von Plattling?
59.85,Wie groß ist die Fläche von St. Georgen im Schwarzwald?
23.07,Wie viele Quadratmeter umfasst die Stadt Altötting?
185.50,Wie groß ist die Fläche der Stadt Fehmarn?
121.67,Wie groß ist die Fläche der Stadt Schleiden?
103.38,Wie groß ist die Fläche der Stadt Treuchtlingen?
57.51,Welche Fläche nimmt Weilburg ein?
19.45,Welche Fläche nimmt Schüttorf ein?
181.30,Wie viele Quadratmeter umfasst die Stadt Beelitz?
45.33,Welche Fläche nimmt Rosbach v. d. Höhe ein?
40.99,Wie groß ist die Fläche von Hadamar?
65.43,Wie viele Quadratmeter umfasst die Stadt Linnich?
18.80,Welche Fläche nimmt Wasserburg a.Inn ein?
50.79,Wie groß ist die Fläche von Wächtersbach?
524.35,Wie groß ist die Fläche von Möckern?
16.83,Wie viele Quadratmeter umfasst die Stadt Besigheim?
86.78,Wie viele Quadratmeter umfasst die Stadt Hungen?
22.22,Wie groß ist die Fläche der Stadt Weinsberg?
32.85,Welche Fläche nimmt Bad Doberan ein?
71.88,Wie groß ist die Fläche der Stadt Herzberg am Harz?
60.62,Wie viele Quadratmeter umfasst die Stadt Waltershausen?
137.21,Wie groß ist die Fläche von Feuchtwangen?
119.61,Wie groß ist die Fläche der Stadt Roding?
75.69,Welche Fläche nimmt Steinheim ein?
55.42,Wie groß ist die Fläche von Bad Urach?
87.62,Wie groß ist die Fläche von Sulz am Neckar?
22.90,Wie viele Quadratmeter umfasst die Stadt Hersbruck?
52.99,Welche Fläche nimmt Zella-Mehlis ein?
114.38,Wie groß ist die Fläche der Stadt Twistringen?
79.11,Wie groß ist die Fläche von Blaubeuren?
82.46,Wie groß ist die Fläche von Borken (Hessen)?
14.29,Wie viele Quadratmeter umfasst die Stadt Röthenbach a.d.Pegnitz?
147.95,Wie groß ist die Fläche der Stadt Winterberg?
23.42,Wie groß ist die Fläche von Velten?
21.34,Welche Fläche nimmt Schongau ein?
176.48,Wie viele Quadratmeter umfasst die Stadt Jüterbog?
65.21,Welche Fläche nimmt Brunsbüttel ein?
68.76,Wie groß ist die Fläche der Stadt Preußisch Oldendorf?
78.24,Welche Fläche nimmt Bad Windsheim ein?
105.72,Welche Fläche nimmt Hessisch Lichtenau ein?
68.84,Welche Fläche nimmt Vilsbiburg ein?
44.10,Welche Fläche nimmt Neuenburg am Rhein ein?
145.29,Welche Fläche nimmt Frohburg ein?
72.28,Wie viele Quadratmeter umfasst die Stadt Gladenbach?
62.59,Wie groß ist die Fläche der Stadt Gaildorf?
131.11,Wie viele Quadratmeter umfasst die Stadt Bad Freienwalde (Oder)?
40.84,Wie groß ist die Fläche von Ebersberg?
63.70,Wie viele Quadratmeter umfasst die Stadt Bad Fallingbostel?
161.30,Wie viele Quadratmeter umfasst die Stadt Bad Wünnenberg?
89.64,Welche Fläche nimmt Titisee-Neustadt ein?
56.68,Welche Fläche nimmt Anklam ein?
123.30,Wie groß ist die Fläche von Burladingen?
10.89,Welche Fläche nimmt Wernau (Neckar) ein?
67.54,Wie viele Quadratmeter umfasst die Stadt Hagenow?
69.83,Wie viele Quadratmeter umfasst die Stadt Laichingen?
23.18,Wie viele Quadratmeter umfasst die Stadt Steinheim an der Murr?
19.00,Welche Fläche nimmt Ladenburg ein?
78.64,Wie groß ist die Fläche der Stadt Ludwigslust?
75.16,Wie viele Quadratmeter umfasst die Stadt Dinkelsbühl?
34.69,Wie viele Quadratmeter umfasst die Stadt Maxhütte-Haidhof?
138.69,Welche Fläche nimmt Perleberg ein?
111.16,Wie viele Quadratmeter umfasst die Stadt Osterhofen?
61.73,Wie groß ist die Fläche von Wolgast?
16.53,Wie groß ist die Fläche von Erkner?
64.24,Wie viele Quadratmeter umfasst die Stadt Zwönitz?
83.12,Wie groß ist die Fläche der Stadt Neustadt in Sachsen?
23.47,Wie groß ist die Fläche von Leingarten?
22.63,Welche Fläche nimmt Lauffen am Neckar ein?
167.46,Welche Fläche nimmt Pritzwalk ein?
12.85,Wie groß ist die Fläche von Hemsbach?
59.51,Wie groß ist die Fläche von Oestrich-Winkel?
82.79,Welche Fläche nimmt Hauzenberg ein?
54.10,Wie viele Quadratmeter umfasst die Stadt Neuenrade?
72.89,Wie viele Quadratmeter umfasst die Stadt Hildburghausen?
24.43,Wie groß ist die Fläche von Pößneck?
94.60,Wie viele Quadratmeter umfasst die Stadt Monschau?
9.56,Wie groß ist die Fläche der Stadt Lauenburg/ Elbe?
76.96,Wie groß ist die Fläche der Stadt Bopfingen?
67.11,Wie groß ist die Fläche der Stadt Drolshagen?
105.91,Wie groß ist die Fläche der Stadt Walldürn?
11.84,Wie viele Quadratmeter umfasst die Stadt Lindenberg i.Allgäu?
88.30,Wie groß ist die Fläche der Stadt Geisenfeld?
20.45,Wie groß ist die Fläche der Stadt Ebersbach-Neugersdorf?
91.36,Wie groß ist die Fläche von Billerbeck?
40.34,Welche Fläche nimmt Geisenheim ein?
295.61,Wie groß ist die Fläche der Stadt Coswig (Anhalt)?
32.44,Wie groß ist die Fläche von Miesbach?
49.49,Wie groß ist die Fläche der Stadt Schwaigern?
159.54,Welche Fläche nimmt Gräfenhainichen ein?
225.83,Wie groß ist die Fläche von Wittingen?
36.15,Wie groß ist die Fläche der Stadt Bad Dürrenberg?
54.27,Welche Fläche nimmt Wolmirstedt ein?
51.55,Wie groß ist die Fläche von Trostberg?
35.70,Welche Fläche nimmt Marktheidenfeld ein?
40.27,Wie groß ist die Fläche von Bad Schwalbach?
63.57,Wie viele Quadratmeter umfasst die Stadt Ochsenfurt?
73.50,Wie viele Quadratmeter umfasst die Stadt Rheinau?
16.42,Wie groß ist die Fläche von Mülheim-Kärlich?
41.67,Wie viele Quadratmeter umfasst die Stadt Rothenburg ob der Tauber?
37.99,Wie groß ist die Fläche der Stadt Welzheim?
23.22,Welche Fläche nimmt Bad Nenndorf ein?
38.99,Welche Fläche nimmt Stollberg/Erzgeb. ein?
35.48,Wie groß ist die Fläche der Stadt Herbolzheim?
44.39,Welche Fläche nimmt Lauingen (Donau) ein?
35.47,Wie groß ist die Fläche von Schöningen?
35.42,Wie viele Quadratmeter umfasst die Stadt Werther (Westf.)?
70.56,Wie viele Quadratmeter umfasst die Stadt Engen?
74.81,Wie viele Quadratmeter umfasst die Stadt Balve?
12.41,Wie groß ist die Fläche der Stadt Diez?
236.07,Wie groß ist die Fläche von Bad Belzig?
212.91,Wie viele Quadratmeter umfasst die Stadt Osterwieck?
47.28,Wie viele Quadratmeter umfasst die Stadt Braunfels?
15.47,Wie groß ist die Fläche der Stadt Lichtenstein/Sa.?
61.90,Wie groß ist die Fläche von Gengenbach?
34.28,Wie groß ist die Fläche von Lorch?
42.80,Wie groß ist die Fläche von Isselburg?
26.28,Wie viele Quadratmeter umfasst die Stadt Oelsnitz/Erzgeb.?
80.01,Wie groß ist die Fläche der Stadt Waldkirchen?
65.14,Wie viele Quadratmeter umfasst die Stadt Regen?
128.88,Wie groß ist die Fläche von Hammelburg?
9.11,Wie viele Quadratmeter umfasst die Stadt Wildau?
76.44,Wie groß ist die Fläche von Haigerloch?
16.22,Wie groß ist die Fläche der Stadt Rutesheim?
53.19,Wie viele Quadratmeter umfasst die Stadt Altensteig?
39.82,Welche Fläche nimmt Donzdorf ein?
40.11,Wie viele Quadratmeter umfasst die Stadt Gernsheim?
76.80,Wie groß ist die Fläche der Stadt Meßstetten?
158.15,Wie groß ist die Fläche von Rüthen?
64.96,Welche Fläche nimmt Riedlingen ein?
22.75,Welche Fläche nimmt Glückstadt ein?
88.39,Wie viele Quadratmeter umfasst die Stadt Gronau (Leine)?
47.42,Wie groß ist die Fläche der Stadt Boizenburg/ Elbe?
192.57,Welche Fläche nimmt Lichtenau ein?
46.33,Wie groß ist die Fläche von Langenzenn?
24.67,Wie groß ist die Fläche der Stadt Eisenberg?
125.59,Wie groß ist die Fläche der Stadt Schleusingen?
4.40,Welche Fläche nimmt Steinbach (Taunus) ein?
83.32,Welche Fläche nimmt Felsberg ein?
46.21,Wie viele Quadratmeter umfasst die Stadt Bischofswerda?
36.93,Welche Fläche nimmt Kenzingen ein?
125.35,Welche Fläche nimmt Olbernhau ein?
36.47,Wie groß ist die Fläche der Stadt Bad Iburg?
294.99,Wie groß ist die Fläche der Stadt Tangerhütte?
17.17,Wie groß ist die Fläche der Stadt Barmstedt?
99.51,Wie groß ist die Fläche der Stadt Bad Staffelstein?
27.76,Wie groß ist die Fläche der Stadt Flöha?
6.48,Welche Fläche nimmt Büdelsdorf ein?
160.11,Wie viele Quadratmeter umfasst die Stadt Gommern?
122.74,Wie groß ist die Fläche von Nossen?
52.38,Wie groß ist die Fläche von Grevesmühlen?
25.88,Welche Fläche nimmt Burgstädt ein?
74.31,Wie groß ist die Fläche der Stadt Braunsbedra?
105.22,Wie viele Quadratmeter umfasst die Stadt Bad Wildbad?
31.90,Welche Fläche nimmt Dissen am Teutoburger Wald ein?
31.37,Wie viele Quadratmeter umfasst die Stadt Neuenhaus?
89.98,Wie viele Quadratmeter umfasst die Stadt Tangermünde?
11.22,Wie groß ist die Fläche der Stadt Nieder-Olm?
82.06,Wie groß ist die Fläche von Demmin?
47.75,Welche Fläche nimmt Bad Orb ein?
155.62,Wie groß ist die Fläche von Querfurt?
21.39,Wie groß ist die Fläche von Lollar?
56.68,Welche Fläche nimmt Wildberg ein?
26.70,Wie groß ist die Fläche der Stadt Endingen am Kaiserstuhl?
41.56,Welche Fläche nimmt Bad Lauterberg im Harz ein?
25.92,Wie groß ist die Fläche der Stadt Burgau?
52.33,Wie viele Quadratmeter umfasst die Stadt Aulendorf?
26.51,Welche Fläche nimmt Weilheim an der Teck ein?
63.81,Wie groß ist die Fläche der Stadt Werlte?
16.31,Welche Fläche nimmt Erlenbach a.Main ein?
104.86,Wie groß ist die Fläche von Steinau an der Straße?
41.17,Welche Fläche nimmt Neuenstadt am Kocher ein?
65.04,Wie groß ist die Fläche von Nideggen?
165.61,Welche Fläche nimmt Oberzent ein?
56.86,Wie groß ist die Fläche von Neustadt (Hessen)?
12.79,Wie viele Quadratmeter umfasst die Stadt Süßen?
30.63,Wie groß ist die Fläche der Stadt Niebüll?
108.17,Wie viele Quadratmeter umfasst die Stadt Bleicherode?
49.74,Welche Fläche nimmt Bogen ein?
47.33,Wie viele Quadratmeter umfasst die Stadt Simbach a.Inn?
99.97,Welche Fläche nimmt Rehburg-Loccum ein?
98.72,Wie groß ist die Fläche der Stadt Blumberg?
9.56,Wie groß ist die Fläche der Stadt Betzdorf?
68.78,Welche Fläche nimmt Münchberg ein?
75.06,Wie groß ist die Fläche von Gemünden a.Main?
133.56,Wie groß ist die Fläche der Stadt Schotten?
100.02,Welche Fläche nimmt Beilngries ein?
53.66,Welche Fläche nimmt Oelsnitz/Vogtl. ein?
15.75,Wie groß ist die Fläche von Wahlstedt?
8.99,Wie groß ist die Fläche von Friedrichsthal?
91.06,Welche Fläche nimmt Bad Frankenhausen/Kyffhäuser ein?
40.25,Welche Fläche nimmt Niddatal ein?
51.41,Wie viele Quadratmeter umfasst die Stadt Rüdesheim am Rhein?
23.60,Welche Fläche nimmt Aichtal ein?
53.66,Wie groß ist die Fläche der Stadt Meuselwitz?
25.78,Wie groß ist die Fläche der Stadt Heubach?
39.69,Wie viele Quadratmeter umfasst die Stadt Oldenburg in Holstein?
271.52,Wie viele Quadratmeter umfasst die Stadt Oberharz am Brocken?
46.73,Wie viele Quadratmeter umfasst die Stadt Bad König?
49.82,Welche Fläche nimmt Mengen ein?
55.21,Wie groß ist die Fläche von Pasewalk?
62.23,Welche Fläche nimmt Heilsbronn ein?
46.49,Wie viele Quadratmeter umfasst die Stadt Gudensberg?
127.13,Welche Fläche nimmt Wettin-Löbejün ein?
15.41,Wie groß ist die Fläche der Stadt Bad Ems?
126.36,Wie groß ist die Fläche der Stadt Trebbin?
142.06,Wie groß ist die Fläche von Schlitz?
33.78,Wie groß ist die Fläche der Stadt Bad Liebenzell?
278.73,Wie groß ist die Fläche der Stadt Klötze?
19.93,Wie viele Quadratmeter umfasst die Stadt Bad Breisig?
109.96,Wie viele Quadratmeter umfasst die Stadt Bockenem?
40.94,Wie viele Quadratmeter umfasst die Stadt Großröhrsdorf?
106.60,Welche Fläche nimmt Altlandsberg ein?
34.89,Welche Fläche nimmt Brandis ein?
78.64,Welche Fläche nimmt Fürstenau ein?
140.65,Wie groß ist die Fläche von Bleckede?
159.20,Wie groß ist die Fläche von Visselhövede?
97.01,Wie groß ist die Fläche der Stadt Laubach?
18.62,Wie groß ist die Fläche der Stadt Osthofen?
113.60,Wie groß ist die Fläche der Stadt Ohrdruf?
12.65,Wie groß ist die Fläche von Wilkau-Haßlau?
99.13,Wie groß ist die Fläche von Mittenwalde?
113.24,Welche Fläche nimmt Dassel ein?
229.81,Wie groß ist die Fläche der Stadt Osterburg (Altmark)?
62.97,Wie groß ist die Fläche von Ilsenburg (Harz)?
90.85,Wie viele Quadratmeter umfasst die Stadt Bad Gandersheim?
235.25,Wie viele Quadratmeter umfasst die Stadt Kemberg?
207.44,Wie viele Quadratmeter umfasst die Stadt Luckau?
122.34,Wie groß ist die Fläche von Hemau?
76.73,Welche Fläche nimmt Steinbach-Hallenberg ein?
43.71,Wie groß ist die Fläche von Runkel?
51.88,Wie viele Quadratmeter umfasst die Stadt Wertingen?
13.65,Wie groß ist die Fläche der Stadt Töging a.Inn?
89.46,Wie groß ist die Fläche der Stadt Lüchow (Wendland)?
75.31,Wie groß ist die Fläche von Hohenmölsen?
48.37,Wie groß ist die Fläche der Stadt Bad Bevensen?
180.71,Wie groß ist die Fläche der Stadt Storkow (Mark)?
15.88,Wie groß ist die Fläche von Höhr-Grenzhausen?
60.25,Wie viele Quadratmeter umfasst die Stadt Miltenberg?
34.27,Wie groß ist die Fläche der Stadt Ichenhausen?
80.33,Wie groß ist die Fläche der Stadt Rehau?
18.75,Welche Fläche nimmt Eisenberg (Pfalz) ein?
32.45,Wie viele Quadratmeter umfasst die Stadt Obernkirchen?
18.32,Wie groß ist die Fläche der Stadt Heiligenhafen?
117.02,Wie viele Quadratmeter umfasst die Stadt Werneuchen?
50.51,Welche Fläche nimmt Grimmen ein?
88.23,Wie groß ist die Fläche von Sebnitz?
46.29,Wie groß ist die Fläche von Zwenkau?
88.64,Wie groß ist die Fläche der Stadt Lügde?
138.88,Wie groß ist die Fläche der Stadt Bad Liebenwerda?
70.49,Welche Fläche nimmt Tecklenburg ein?
98.73,Welche Fläche nimmt Nittenau ein?
54.88,Wie viele Quadratmeter umfasst die Stadt Wunsiedel?
3.99,Welche Fläche nimmt Weißenthurm ein?
157.39,Wie groß ist die Fläche von Kyritz?
148.63,Wie viele Quadratmeter umfasst die Stadt Zahna-Elster?
113.69,Wie groß ist die Fläche der Stadt Zörbig?
53.82,Wie viele Quadratmeter umfasst die Stadt Niesky?
80.56,Wie groß ist die Fläche der Stadt Freystadt?
115.19,Wie groß ist die Fläche der Stadt Elsfleth?
47.41,Welche Fläche nimmt Sassnitz ein?
46.33,Welche Fläche nimmt Brand-Erbisdorf ein?
70.13,Wie groß ist die Fläche der Stadt Bad Griesbach i.Rottal?
23.57,Wie groß ist die Fläche von Laufenburg (Baden)?
77.13,Welche Fläche nimmt Rain ein?
23.75,Wie groß ist die Fläche von Mendig?
17.37,Wie groß ist die Fläche der Stadt Reinfeld (Holstein)?
86.08,Wie groß ist die Fläche der Stadt Neustadt an der Orla?
26.69,Wie groß ist die Fläche der Stadt Kandel?
55.99,Welche Fläche nimmt Borgholzhausen ein?
59.96,Wie groß ist die Fläche der Stadt Ochsenhausen?
41.16,Welche Fläche nimmt Zwiesel ein?
47.81,Wie groß ist die Fläche von Elze?
131.18,Wie viele Quadratmeter umfasst die Stadt Berching?
36.76,Wie groß ist die Fläche von Plön?
104.53,Wie groß ist die Fläche von Wetter (Hessen)?
41.71,Wie groß ist die Fläche der Stadt Waldheim?
22.79,Wie groß ist die Fläche der Stadt Zschopau?
72.19,Wie groß ist die Fläche von Torgelow?
55.01,Wie groß ist die Fläche der Stadt Bad Schussenried?
67.06,Wie groß ist die Fläche der Stadt Furth im Wald?
59.09,Wie groß ist die Fläche der Stadt Breckerfeld?
54.70,Wie groß ist die Fläche der Stadt Ortenberg?
78.26,Wie viele Quadratmeter umfasst die Stadt Auerbach i.d.OPf.?
82.57,Wie viele Quadratmeter umfasst die Stadt Furtwangen im Schwarzwald?
97.29,Wie groß ist die Fläche der Stadt Raguhn-Jeßnitz?
85.37,Wie viele Quadratmeter umfasst die Stadt Bad Lauchstädt?
45.07,Wie viele Quadratmeter umfasst die Stadt Hemmoor?
86.75,Wie viele Quadratmeter umfasst die Stadt Ballenstedt?
36.60,Welche Fläche nimmt Neuötting ein?
42.54,Wie groß ist die Fläche von Bersenbrück?
13.22,Wie viele Quadratmeter umfasst die Stadt Vallendar?
108.21,Wie viele Quadratmeter umfasst die Stadt Schleiz?
39.60,Welche Fläche nimmt Florstadt ein?
14.60,Wie groß ist die Fläche der Stadt Hallstadt?
60.19,Wie groß ist die Fläche von Volkach?
108.22,Wie groß ist die Fläche der Stadt Neuhaus am Rennweg?
39.71,Wie viele Quadratmeter umfasst die Stadt Naunhof?
11.12,Wie groß ist die Fläche der Stadt Rauenberg?
149.01,Wie viele Quadratmeter umfasst die Stadt Herzberg (Elster)?
22.70,Welche Fläche nimmt Waldenbuch ein?
41.18,Welche Fläche nimmt Barth ein?
138.94,Wie viele Quadratmeter umfasst die Stadt Borgentreich?
150.36,Welche Fläche nimmt Doberlug-Kirchhain ein?
19.34,Wie groß ist die Fläche der Stadt Nierstein?
24.82,Wie groß ist die Fläche der Stadt Obernburg a.Main?
45.17,Wie groß ist die Fläche der Stadt Vohburg a.d.Donau?
103.95,Wie groß ist die Fläche von Tirschenreuth?
63.37,Wie groß ist die Fläche von Penig?
43.33,Welche Fläche nimmt Kappeln ein?
98.57,Wie groß ist die Fläche der Stadt Mücheln (Geiseltal)?
76.22,Wie groß ist die Fläche der Stadt Meßkirch?
59.46,Welche Fläche nimmt Barntrup ein?
143.76,Wie groß ist die Fläche der Stadt Mansfeld?
73.75,Wie viele Quadratmeter umfasst die Stadt Bad Sooden-Allendorf?
30.28,Wie groß ist die Fläche von Lauter-Bernsbach?
90.11,Wie groß ist die Fläche von Rottenburg a.d.Laaber?
85.87,Welche Fläche nimmt Ueckermünde ein?
10.71,Wie viele Quadratmeter umfasst die Stadt Bad Bergzabern?
96.49,Welche Fläche nimmt Lützen ein?
51.74,Wie viele Quadratmeter umfasst die Stadt Hainichen?
28.58,Wie groß ist die Fläche von Staufenberg?
25.51,Wie groß ist die Fläche der Stadt Großbottwar?
18.08,Wie groß ist die Fläche der Stadt Kuppenheim?
39.76,Wie viele Quadratmeter umfasst die Stadt Kirchen (Sieg)?
62.46,Welche Fläche nimmt Viechtach ein?
81.86,Welche Fläche nimmt Großräschen/Rań ein?
120.26,Wie groß ist die Fläche der Stadt Stadtilm?
58.72,Welche Fläche nimmt Helmbrechts ein?
28.15,Wie viele Quadratmeter umfasst die Stadt Neuenbürg?
15.34,Wie viele Quadratmeter umfasst die Stadt Landstuhl?
62.26,Welche Fläche nimmt Kandern ein?
84.09,Wie groß ist die Fläche von Colditz?
47.07,Wie groß ist die Fläche von Teterow?
60.04,Wie viele Quadratmeter umfasst die Stadt Schieder-Schwalenberg?
34.88,Welche Fläche nimmt Wissen ein?
46.27,Welche Fläche nimmt Premnitz ein?
110.14,Welche Fläche nimmt Neunburg vorm Wald ein?
49.60,Wie groß ist die Fläche der Stadt Möckmühl?
20.13,Wie groß ist die Fläche von Bönnigheim?
23.32,Wie groß ist die Fläche der Stadt Staufen im Breisgau?
16.53,Wie viele Quadratmeter umfasst die Stadt Kirn?
78.09,Welche Fläche nimmt Leisnig ein?
112.10,Welche Fläche nimmt Arnstein ein?
16.75,Welche Fläche nimmt Wörrstadt ein?
81.66,Wie groß ist die Fläche der Stadt Herrieden?
56.69,Welche Fläche nimmt Calbe (Saale) ein?
36.80,Wie groß ist die Fläche der Stadt Weida?
153.20,Wie groß ist die Fläche von Barby?
26.33,Welche Fläche nimmt Knittlingen ein?
63.73,Wie viele Quadratmeter umfasst die Stadt Grafenau?
18.81,Wie groß ist die Fläche der Stadt Kellinghusen?
42.14,Wie viele Quadratmeter umfasst die Stadt Lauta?
36.41,Welche Fläche nimmt Zell am Harmersbach ein?
128.41,Wie viele Quadratmeter umfasst die Stadt Willebadessen?
33.01,Welche Fläche nimmt Bad Herrenalb ein?
70.02,Welche Fläche nimmt Bad Lausick ein?
24.20,Wie groß ist die Fläche der Stadt Dornstetten?
125.35,Wie groß ist die Fläche von Könnern?
76.61,Wie groß ist die Fläche von Dannenberg (Elbe)?
160.30,Wie groß ist die Fläche der Stadt Bad Schmiedeberg?
39.56,Wie groß ist die Fläche der Stadt Kirchberg?
77.79,Wie viele Quadratmeter umfasst die Stadt Beeskow?
115.53,Wie groß ist die Fläche der Stadt Oranienbaum-Wörlitz?
49.02,Welche Fläche nimmt Daun ein?
289.49,Welche Fläche nimmt Bismark (Altmark) ein?
43.01,Wie groß ist die Fläche von Ramstein-Miesenbach?
7.49,Wie groß ist die Fläche von Hermsdorf?
11.81,Wie viele Quadratmeter umfasst die Stadt Baiersdorf?
118.51,Wie viele Quadratmeter umfasst die Stadt Neresheim?
126.05,Wie viele Quadratmeter umfasst die Stadt Medebach?
81.36,Welche Fläche nimmt Teuchern ein?
39.85,Wie groß ist die Fläche von Bützow?
16.17,Wie viele Quadratmeter umfasst die Stadt Kühlungsborn?
12.15,Wie groß ist die Fläche der Stadt Ransbach-Baumbach?
31.08,Welche Fläche nimmt Schweich ein?
54.06,Welche Fläche nimmt Gundelfingen a.d.Donau ein?
30.49,Wie groß ist die Fläche von Lößnitz?
26.36,Wie groß ist die Fläche von Kirchheimbolanden?
23.55,Wie viele Quadratmeter umfasst die Stadt Oberkochen?
11.96,Welche Fläche nimmt Simmern/ Hunsrück ein?
328.14,Wie groß ist die Fläche der Stadt Rheinsberg?
58.53,Wie groß ist die Fläche von Hüfingen?
50.44,Welche Fläche nimmt Klingenthal ein?
77.33,Welche Fläche nimmt Oederan ein?
22.29,Wie groß ist die Fläche von Lugau/Erzgeb.?
111.42,Wie viele Quadratmeter umfasst die Stadt Vetschau/Spreewald / Wětošow/Błota?
40.58,Wie groß ist die Fläche von Elsterwerda?
145.90,Wie viele Quadratmeter umfasst die Stadt Altenberg?
45.80,Wie groß ist die Fläche von Bad Düben?
31.06,Welche Fläche nimmt Falkenstein/Vogtl. ein?
43.74,Wie viele Quadratmeter umfasst die Stadt Treuen?
209.54,Wie groß ist die Fläche von Kremmen?
64.43,Wie groß ist die Fläche von Gerolstein?
48.81,Wie groß ist die Fläche von Bad Liebenstein?
91.14,Wie groß ist die Fläche von Bad Sulza?
78.93,Welche Fläche nimmt Seeland ein?
38.23,Wie groß ist die Fläche von Teublitz?
163.49,Wie groß ist die Fläche von Calau/Kalawa?
111.28,Wie viele Quadratmeter umfasst die Stadt Sontra?
88.02,Wie viele Quadratmeter umfasst die Stadt Löffingen?
70.17,Wie groß ist die Fläche von Groitzsch?
30.76,Welche Fläche nimmt Breuberg ein?
37.04,Welche Fläche nimmt Naila ein?
158.99,Wie groß ist die Fläche der Stadt Belgern-Schildau?
84.03,Wie groß ist die Fläche von Hardegsen?
149.85,Wie groß ist die Fläche von Allstedt?
7.10,Wie groß ist die Fläche von Oppenheim?
74.91,Welche Fläche nimmt Vohenstrauß ein?
164.68,Wie viele Quadratmeter umfasst die Stadt Harzgerode?
38.44,Wie groß ist die Fläche der Stadt Gundelsheim?
20.63,Welche Fläche nimmt Saarburg ein?
80.93,Welche Fläche nimmt Weikersheim ein?
272.84,Wie viele Quadratmeter umfasst die Stadt Kalbe (Milde)?
212.43,Welche Fläche nimmt Treuenbrietzen ein?
88.04,Wie viele Quadratmeter umfasst die Stadt Homberg (Ohm)?
93.11,Welche Fläche nimmt Münnerstadt ein?
86.52,Wie viele Quadratmeter umfasst die Stadt Eisfeld?
33.55,Wie groß ist die Fläche der Stadt Otterndorf?
57.32,Wie viele Quadratmeter umfasst die Stadt Parsberg?
83.43,Welche Fläche nimmt Pockau-Lengefeld ein?
32.08,Wie groß ist die Fläche von Renchen?
32.16,Wie groß ist die Fläche von Leipheim?
55.32,Welche Fläche nimmt Bad Berka ein?
35.28,Wie groß ist die Fläche von Laufen?
44.10,Welche Fläche nimmt Roßwein ein?
59.81,Wie viele Quadratmeter umfasst die Stadt Aken (Elbe)?
95.01,Wie groß ist die Fläche der Stadt Ebern?
75.28,Wie groß ist die Fläche der Stadt Elzach?
62.15,Wie groß ist die Fläche von Bad Kötzting?
26.76,Wie groß ist die Fläche von Pulsnitz?
33.20,Wie groß ist die Fläche von Bad Sachsa?
21.26,Wie groß ist die Fläche von Meldorf?
21.67,Wie groß ist die Fläche der Stadt Esens?
19.38,Welche Fläche nimmt Bad Wimpfen ein?
109.28,Welche Fläche nimmt Malchin ein?
54.02,Wie groß ist die Fläche von Radeburg?
103.01,Wie viele Quadratmeter umfasst die Stadt Königsee?
69.06,Welche Fläche nimmt Markneukirchen ein?
94.87,Wie viele Quadratmeter umfasst die Stadt Scheßlitz?
73.08,Wie groß ist die Fläche von Roßleben-Wiehe?
60.94,Wie viele Quadratmeter umfasst die Stadt Dettelbach?
5.66,Wie viele Quadratmeter umfasst die Stadt Zwingenberg?
48.63,Wie groß ist die Fläche von Freyung?
75.24,Wie groß ist die Fläche der Stadt Gedern?
18.67,Wie groß ist die Fläche von Haslach im Kinzigtal?
36.87,Welche Fläche nimmt Friedrichroda ein?
23.71,Wie groß ist die Fläche von Bernkastel-Kues?
61.20,Wie groß ist die Fläche von Heringen (Werra)?
39.87,Wie viele Quadratmeter umfasst die Stadt Annweiler am Trifels?
95.14,Wie groß ist die Fläche von Wriezen?
92.44,Wie groß ist die Fläche von Am Ettersberg?
13.64,Welche Fläche nimmt Birkenfeld ein?
103.73,Wie viele Quadratmeter umfasst die Stadt Greding?
112.24,Wie viele Quadratmeter umfasst die Stadt Eibenstock?
152.29,Welche Fläche nimmt Müncheberg ein?
28.54,Welche Fläche nimmt Immenhausen ein?
46.98,Welche Fläche nimmt Lengenfeld ein?
